open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1788819180000,0.0613000,0.0613100,0.0611700,0.0612800,238517,1788819239999,14605.8024200,319,102274,6264.0807600,0
1788819240000,0.0612900,0.0612900,0.0610100,0.0610300,295593,1788819299999,18059.8777600,416,91245,5576.6425500,0
1788819300000,0.0610400,0.0610900,0.0608400,0.0609200,340220,1788819359999,20727.9533100,447,141185,8603.9782300,0
1788819360000,0.0609200,0.0610300,0.0607900,0.0608300,196026,1788819419999,11935.6109700,304,70069,4269.3986500,0
1788819420000,0.0608200,0.0609100,0.0607100,0.0608200,192022,1788819479999,11673.5226400,343,61558,3743.7036800,0
1788819480000,0.0608200,0.0609400,0.0607900,0.0608700,93615,1788819539999,5698.3237300,200,56351,3430.8721800,0
1788819540000,0.0608700,0.0608900,0.0607900,0.0608700,261000,1788819599999,15874.7012900,131,25582,1556.1239600,0
1788819600000,0.0608600,0.0608700,0.0606600,0.0608300,567865,1788819659999,34504.8587800,577,165609,10067.6603600,0
1788819660000,0.0608200,0.0609200,0.0608000,0.0608600,187784,1788819719999,11428.7382500,247,108894,6629.0359100,0
1788819720000,0.0608500,0.0608600,0.0607600,0.0608200,166111,1788819779999,10100.7183400,144,20447,1243.6611300,0
1788819780000,0.0608300,0.0609200,0.0607900,0.0608100,303625,1788819839999,18476.1318300,330,154105,9380.9069900,0
1788819840000,0.0608200,0.0609900,0.0608200,0.0609400,201396,1788819899999,12270.6958300,241,179562,10940.3863100,0
1788819900000,0.0609400,0.0612800,0.0609300,0.0611300,404464,1788819959999,24697.5481200,552,288028,17584.5722900,0
1788819960000,0.0611000,0.0611000,0.0608100,0.0610800,226516,1788820019999,13814.0895700,332,133931,8170.4014600,0
1788820020000,0.0610800,0.0611400,0.0610000,0.0610800,300955,1788820079999,18382.6760500,265,120032,7333.0172900,0
1788820080000,0.0610900,0.0611000,0.0608900,0.0609900,252421,1788820139999,15394.2920400,389,103186,6291.5751900,0
1788820140000,0.0609700,0.0610500,0.0609400,0.0609500,133736,1788820199999,8156.3763200,140,42538,2594.2068600,0
1788820200000,0.0609800,0.0610600,0.0609200,0.0609800,184835,1788820259999,11273.8307700,356,80773,4927.7335900,0
1788820260000,0.0609900,0.0610400,0.0609100,0.0609400,175674,1788820319999,10712.6339200,272,111935,6826.3885700,0
1788820320000,0.0609400,0.0610300,0.0607700,0.0609800,681689,1788820379999,41517.8061700,670,413001,25151.2714900,0
1788820380000,0.0610200,0.0611200,0.0610100,0.0610400,249733,1788820439999,15251.4615900,290,140615,8587.6551800,0
1788820440000,0.0610200,0.0610500,0.0608700,0.0609000,98272,1788820499999,5990.3246500,186,35776,2181.8853500,0
1788820500000,0.0609000,0.0610600,0.0608800,0.0610600,187571,1788820559999,11433.3976400,267,109186,6657.0882300,0
1788820560000,0.0610500,0.0612000,0.0608500,0.0608900,371335,1788820619999,22653.4552700,387,84476,5154.8621000,0
1788820620000,0.0608900,0.0608900,0.0606300,0.0607000,409185,1788820679999,24877.7197000,307,54566,3315.0806500,0
1788820680000,0.0607000,0.0607600,0.0606400,0.0607600,128822,1788820739999,7819.6114000,215,38432,2332.9442800,0
1788820740000,0.0607600,0.0607700,0.0606400,0.0606500,186283,1788820799999,11307.1163800,228,45625,2770.3981000,0
1788820800000,0.0606500,0.0607100,0.0603400,0.0604900,985761,1788820859999,59686.1092700,1139,256912,15562.8781100,0
1788820860000,0.0604800,0.0605100,0.0602000,0.0603200,1067568,1788820919999,64400.9303300,1137,332715,20081.7999200,0
1788820920000,0.0603200,0.0604100,0.0602500,0.0603100,247742,1788820979999,14939.7268300,443,106122,6400.1871600,0
1788820980000,0.0603000,0.0603800,0.0595000,0.0599300,2980403,1788821039999,178553.5976200,2068,948117,56874.0708000,0
1788821040000,0.0599200,0.0599900,0.0597500,0.0598200,1090188,1788821099999,65268.0858200,980,457108,27375.6699300,0
1788821100000,0.0598400,0.0598800,0.0582000,0.0584000,9989684,1788821159999,589146.8834100,12909,3886711,229349.4750700,0
1788821160000,0.0584100,0.0590100,0.0579800,0.0583800,5684529,1788821219999,332362.8708400,6179,2859720,167304.8690000,0
1788821220000,0.0583600,0.0586900,0.0582100,0.0582900,2008636,1788821279999,117418.8507200,2119,780275,45648.9208200,0
1788821280000,0.0583000,0.0585600,0.0581100,0.0581500,1604197,1788821339999,93547.2228100,1773,849578,49565.3067800,0
1788821340000,0.0581700,0.0582700,0.0580800,0.0582700,1134921,1788821399999,66021.7810800,938,594700,34607.6047700,0
1788821400000,0.0582500,0.0593300,0.0582500,0.0586300,4228803,1788821459999,249089.5514900,3360,2062768,121568.2729300,0
1788821460000,0.0586200,0.0592100,0.0584500,0.0590900,1262254,1788821519999,74204.8462000,1240,768709,45209.4702800,0
1788821520000,0.0590700,0.0590900,0.0576500,0.0580900,3664529,1788821579999,213618.7342600,3062,1145503,66696.0355300,0
1788821580000,0.0580900,0.0586300,0.0563200,0.0565100,15655171,1788821639999,897358.5252000,14832,6352690,363745.9388400,0
1788821640000,0.0565200,0.0570800,0.0552800,0.0559200,15818911,1788821699999,885822.7530100,14883,6211730,348080.0356000,0
1788821700000,0.0559400,0.0579300,0.0555000,0.0563400,13193360,1788821759999,749156.6909700,9974,5442102,309335.5744400,0
