open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1788924600000,0.0072550,0.0072780,0.0072400,0.0072550,4550251,1788924659999,33030.3791580,676,2554403,18547.0380800,0
1788924660000,0.0072560,0.0072880,0.0072520,0.0072780,3871224,1788924719999,28161.2539660,579,2401232,17463.6829160,0
1788924720000,0.0072780,0.0073400,0.0072710,0.0073340,6715132,1788924779999,49095.9125930,812,4656246,34057.5433220,0
1788924780000,0.0073330,0.0073950,0.0073320,0.0073920,4929315,1788924839999,36267.6857810,785,3395070,24988.9859740,0
1788924840000,0.0073930,0.0075600,0.0073790,0.0074110,29802837,1788924899999,222485.4982340,3436,17743247,132386.5988160,0
1788924900000,0.0074100,0.0074330,0.0074000,0.0074100,7352721,1788924959999,54545.4135090,811,4705979,34911.1732700,0
1788924960000,0.0074080,0.0074750,0.0074060,0.0074220,11761966,1788925019999,87488.6271920,1219,8284306,61597.5114880,0
1788925020000,0.0074200,0.0074470,0.0074160,0.0074320,2644519,1788925079999,19656.7733800,485,1582818,11764.7588030,0
1788925080000,0.0074320,0.0075240,0.0074220,0.0074970,10238007,1788925139999,76537.9443690,1187,7094508,53053.0429980,0
1788925140000,0.0074970,0.0075130,0.0074810,0.0074900,7566048,1788925199999,56724.1512300,822,4858434,36430.6054530,0
1788925200000,0.0074910,0.0075000,0.0074530,0.0074720,7373929,1788925259999,55131.7860730,880,3244170,24255.2016000,0
1788925260000,0.0074730,0.0074940,0.0074520,0.0074520,3823750,1788925319999,28574.3061650,590,2411799,18027.9603340,0
1788925320000,0.0074510,0.0075600,0.0074510,0.0075060,9600048,1788925379999,72173.5461730,1169,5794472,43548.4838010,0
1788925380000,0.0075060,0.0075170,0.0074630,0.0074760,5391402,1788925439999,40380.7722120,715,2784759,20860.4786980,0
1788925440000,0.0074750,0.0074850,0.0074350,0.0074350,3038194,1788925499999,22681.7407520,444,1657421,12378.6206950,0
1788925500000,0.0074340,0.0074440,0.0074230,0.0074290,2196810,1788925559999,16329.1997020,405,1330460,9889.9675250,0
1788925560000,0.0074290,0.0075170,0.0074180,0.0075090,4160723,1788925619999,31086.8493320,799,2663649,19901.8693580,0
1788925620000,0.0075080,0.0075240,0.0075040,0.0075180,3159548,1788925679999,23742.7031290,538,1968384,14791.8462940,0
1788925680000,0.0075180,0.0075520,0.0075060,0.0075390,4654321,1788925739999,35064.4261390,786,2458138,18517.8632480,0
1788925740000,0.0075360,0.0075500,0.0074930,0.0075280,8241335,1788925799999,62026.1275680,1124,3874583,29149.7430630,0
1788925800000,0.0075280,0.0075380,0.0075030,0.0075170,4070177,1788925859999,30626.1830000,658,1873999,14102.5171720,0
1788925860000,0.0075140,0.0075310,0.0074880,0.0075150,5429503,1788925919999,40765.5148770,628,3110434,23349.1951470,0
1788925920000,0.0075130,0.0075200,0.0074610,0.0075130,6890949,1788925979999,51634.7624670,952,3525555,26420.8796220,0
1788925980000,0.0075120,0.0075200,0.0074750,0.0075000,3589966,1788926039999,26942.7169800,587,1325999,9951.8314540,0
1788926040000,0.0075000,0.0075070,0.0074880,0.0075060,1354397,1788926099999,10153.7291800,306,728338,5460.0489270,0
1788926100000,0.0075050,0.0075150,0.0074830,0.0075100,4945891,1788926159999,37101.5150080,681,3530922,26488.7832830,0
1788926160000,0.0075100,0.0075260,0.0074670,0.0074910,7357750,1788926219999,55229.0739320,932,3380380,25360.0819350,0
1788926220000,0.0074900,0.0074940,0.0074750,0.0074800,3803977,1788926279999,28474.2249220,671,1887352,14128.3357890,0
1788926280000,0.0074800,0.0074990,0.0074770,0.0074940,1827357,1788926339999,13683.6605930,411,917206,6869.0303460,0
1788926340000,0.0074930,0.0075160,0.0074710,0.0074840,3939430,1788926399999,29510.0023190,588,1062787,7961.4601810,0
1788926400000,0.0074830,0.0075000,0.0074610,0.0074960,7430353,1788926459999,55614.9794980,1313,3319280,24847.0227130,0
1788926460000,0.0074960,0.0076070,0.0074960,0.0075980,13991363,1788926519999,105745.2827130,2108,9278003,70153.4427750,0
1788926520000,0.0076020,0.0076570,0.0075770,0.0076550,19076317,1788926579999,145160.6097410,2717,10501981,79921.3021980,0
1788926580000,0.0076570,0.0077020,0.0075990,0.0076220,15231156,1788926639999,116800.4970450,2534,7327860,56210.7744400,0
1788926640000,0.0076160,0.0076590,0.0075940,0.0076350,9201997,1788926699999,70180.2100210,1245,5216601,39766.8394280,0
1788926700000,0.0076340,0.0076620,0.0076150,0.0076510,2936109,1788926759999,22422.5781890,645,1686891,12891.5323750,0
1788926760000,0.0076510,0.0076560,0.0075890,0.0076030,5220271,1788926819999,39802.7529590,891,1520143,11605.7092080,0
1788926820000,0.0076030,0.0076320,0.0075790,0.0076040,4149998,1788926879999,31565.6370980,777,2549730,19398.7322700,0
1788926880000,0.0076040,0.0077630,0.0076030,0.0076720,20754607,1788926939999,159898.3165860,2548,13407431,103269.1220470,0
1788926940000,0.0076760,0.0076890,0.0076640,0.0076770,4026652,1788926999999,30908.0039060,608,2155966,16549.8862300,0
1788927000000,0.0076750,0.0076820,0.0076100,0.0076240,5788628,1788927059999,44192.3824830,891,2616185,19959.4231840,0
1788927060000,0.0076230,0.0076410,0.0076150,0.0076400,2460371,1788927119999,18755.0347080,445,1690921,12891.2524860,0
1788927120000,0.0076400,0.0076470,0.0076010,0.0076260,4120640,1788927179999,31417.5964570,907,1944071,14826.9207500,0
1788927180000,0.0076250,0.0076350,0.0076110,0.0076180,3242222,1788927239999,24707.1204760,507,1989473,15162.1952280,0
1788927240000,0.0076200,0.0076560,0.0075910,0.0076460,4723783,1788927299999,35982.0046990,652,3105389,23649.1386460,0
1788927300000,0.0076440,0.0076440,0.0075850,0.0076160,6256296,1788927359999,47640.9107010,849,2896714,22064.8921600,0
1788927360000,0.0076150,0.0076340,0.0076080,0.0076270,3495625,1788927419999,26647.9204390,527,1677358,12786.3145850,0
1788927420000,0.0076270,0.0076280,0.0076070,0.0076070,2099569,1788927479999,16001.4777870,374,1106732,8437.1609660,0
1788927480000,0.0076060,0.0076310,0.0076010,0.0076260,1838234,1788927539999,13999.1710550,393,955358,7276.3555860,0
1788927540000,0.0076240,0.0076610,0.0076240,0.0076420,6314232,1788927599999,48300.5296900,912,2808052,21479.1988540,0
1788927600000,0.0076400,0.0076480,0.0075840,0.0075990,5078621,1788927659999,38670.0395800,767,1430871,10907.8223300,0
1788927660000,0.0076020,0.0076290,0.0076020,0.0076250,3629566,1788927719999,27648.9957910,606,2633109,20058.5130980,0
1788927720000,0.0076240,0.0076410,0.0076210,0.0076360,2478809,1788927779999,18922.5401830,491,1484980,11337.2819620,0
1788927780000,0.0076350,0.0076440,0.0076160,0.0076260,2766309,1788927839999,21108.7481350,436,1028397,7849.1161690,0
1788927840000,0.0076260,0.0076610,0.0076250,0.0076350,2871737,1788927899999,21957.9118380,466,1470386,11240.4767940,0
