open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1788882540000,0.1354100,0.1367300,0.1349600,0.1358500,2644731,1788882599999,359432.2622400,6157,1530128,208085.2550500,0
1788882600000,0.1358200,0.1363100,0.1351200,0.1361200,1320474,1788882659999,179222.4865000,3150,656807,89154.1172100,0
1788882660000,0.1361300,0.1371700,0.1357800,0.1369100,2500214,1788882719999,341271.8314800,4552,1316667,179749.2635500,0
1788882720000,0.1369200,0.1370000,0.1346400,0.1346900,2387924,1788882779999,324364.6077200,5148,786571,107003.0222600,0
1788882780000,0.1346800,0.1353900,0.1340700,0.1350400,2918605,1788882839999,393159.0391900,5995,1618092,218075.9727000,0
1788882840000,0.1350400,0.1357600,0.1344500,0.1351400,1980815,1788882899999,267605.4619900,3416,847276,114519.3505800,0
1788882900000,0.1351300,0.1352900,0.1335900,0.1341100,1832171,1788882959999,245810.3710100,4090,586634,78729.3800500,0
1788882960000,0.1341200,0.1348500,0.1340500,0.1347500,1117700,1788883019999,150375.4837400,1790,745757,100313.1606300,0
1788883020000,0.1347600,0.1349600,0.1346000,0.1346400,1026822,1788883079999,138448.3411900,1728,605211,81621.8581900,0
1788883080000,0.1346500,0.1350500,0.1342200,0.1349000,1216903,1788883139999,163847.6628500,2633,593653,79980.4207700,0
1788883140000,0.1348900,0.1351800,0.1339900,0.1345800,2203374,1788883199999,297210.5644500,3639,1113392,150325.0172800,0
1788883200000,0.1345700,0.1351800,0.1326400,0.1335300,3393453,1788883259999,454893.4585400,5924,1986031,266711.9589900,0
1788883260000,0.1335300,0.1357000,0.1328900,0.1356800,4301697,1788883319999,576457.9332300,7071,2863764,383880.5004100,0
1788883320000,0.1356800,0.1362300,0.1343600,0.1351900,2451811,1788883379999,331973.1041000,5635,1285922,174254.6102700,0
1788883380000,0.1352000,0.1360100,0.1341000,0.1345600,4129273,1788883439999,558006.6923100,6185,1844649,249415.8775500,0
1788883440000,0.1345500,0.1349800,0.1338100,0.1338200,1012733,1788883499999,135956.8504600,2368,518042,69570.1986400,0
1788883500000,0.1338100,0.1340000,0.1330200,0.1334600,1218194,1788883559999,162659.2784600,2628,715154,95480.1459400,0
1788883560000,0.1334500,0.1345300,0.1334400,0.1344100,1092096,1788883619999,146332.4282700,2180,850108,113924.2200600,0
1788883620000,0.1343800,0.1344100,0.1330700,0.1333100,1342020,1788883679999,179201.3163900,2866,441834,58951.7024500,0
1788883680000,0.1333400,0.1336300,0.1320100,0.1328000,2092263,1788883739999,277852.3494100,4605,676136,89866.5008000,0
1788883740000,0.1328000,0.1339900,0.1326900,0.1330800,823408,1788883799999,109840.6137800,2509,439748,58684.7077800,0
1788883800000,0.1330800,0.1333400,0.1327500,0.1332400,310433,1788883859999,41297.5672800,1396,208232,27704.5014200,0
1788883860000,0.1332300,0.1332700,0.1321100,0.1324900,805697,1788883919999,106820.9026500,1946,240173,31843.2326200,0
1788883920000,0.1324800,0.1327900,0.1317300,0.1322100,1369141,1788883979999,180980.4382800,2778,562264,74409.0700600,0
1788883980000,0.1322100,0.1322500,0.1317300,0.1318800,1140967,1788884039999,150579.7747500,1767,664970,87771.3269000,0
1788884040000,0.1318900,0.1329300,0.1318900,0.1327600,910392,1788884099999,120627.5879100,2000,653951,86637.7454100,0
1788884100000,0.1327900,0.1333500,0.1311200,0.1317400,1995671,1788884159999,263545.4401300,4732,645552,85346.3575200,0
1788884160000,0.1317200,0.1331700,0.1316000,0.1329600,884216,1788884219999,117171.6862000,2677,599367,79434.1186600,0
1788884220000,0.1329600,0.1340000,0.1329600,0.1337100,861157,1788884279999,115025.9173700,2584,485904,64886.2266400,0
1788884280000,0.1337100,0.1349000,0.1336200,0.1346300,1415882,1788884339999,190185.9497600,3181,934821,125571.3171700,0
1788884340000,0.1346400,0.1354800,0.1346400,0.1351000,1417930,1788884399999,191591.3195200,2640,726799,98249.7995500,0
1788884400000,0.1350900,0.1360000,0.1349200,0.1357200,1761856,1788884459999,238789.5338100,3586,918824,124580.4733000,0
1788884460000,0.1357300,0.1361200,0.1352000,0.1360600,880354,1788884519999,119455.6596400,2249,536563,72835.9478200,0
1788884520000,0.1360300,0.1366200,0.1356000,0.1360200,1396393,1788884579999,190117.5390300,3146,650761,88659.9667900,0
1788884580000,0.1360200,0.1375800,0.1358000,0.1371700,1653687,1788884639999,226206.0733800,3387,892122,122005.2188800,0
1788884640000,0.1371900,0.1387500,0.1370000,0.1384000,2719333,1788884699999,374678.9998200,4811,1487322,205046.0744300,0
1788884700000,0.1384500,0.1390600,0.1382300,0.1389800,2099985,1788884759999,291043.8243300,3571,1088989,150966.9670200,0
1788884760000,0.1390400,0.1399600,0.1381900,0.1399100,3037882,1788884819999,422702.2883700,5976,1832276,255058.8811100,0
1788884820000,0.1398700,0.1419200,0.1396100,0.1414400,5555112,1788884879999,783224.5653300,10560,3322962,468674.6416800,0
1788884880000,0.1414100,0.1454700,0.1407200,0.1423700,11296768,1788884939999,1621942.2806000,17101,6534715,938548.0841200,0
1788884940000,0.1423600,0.1452900,0.1406200,0.1435800,6344326,1788884999999,906952.6982500,13585,3460886,495283.6492000,0
1788885000000,0.1435800,0.1438400,0.1421400,0.1431100,3093188,1788885059999,442710.4382700,7516,1530008,219058.5657000,0
1788885060000,0.1431500,0.1453600,0.1428700,0.1445800,4649578,1788885119999,670692.1324900,11108,2712112,391280.2116700,0
1788885120000,0.1445300,0.1445400,0.1431000,0.1439400,2371462,1788885179999,341004.7502500,6004,969313,139475.5630500,0
1788885180000,0.1439800,0.1446400,0.1432600,0.1433700,1826276,1788885239999,262984.5880100,4916,773272,111410.3899000,0
1788885240000,0.1433600,0.1464600,0.1431300,0.1457200,4265374,1788885299999,618801.8429100,9058,2821403,409292.9942800,0
1788885300000,0.1457200,0.1457500,0.1433300,0.1439800,2281990,1788885359999,329424.7689100,6154,1102867,159135.6686600,0
1788885360000,0.1439300,0.1458600,0.1432300,0.1457800,2698391,1788885419999,389569.6512200,5316,1612038,233049.2825300,0
1788885420000,0.1457700,0.1462700,0.1447100,0.1459400,2399178,1788885479999,349508.3064800,5818,1263041,184046.7971600,0
1788885480000,0.1459500,0.1460700,0.1448100,0.1455900,2260908,1788885539999,329200.6924400,4336,882478,128538.5909700,0
1788885540000,0.1455900,0.1462500,0.1445700,0.1452200,1402658,1788885599999,203939.2589500,4182,543374,79062.1062500,0
1788885600000,0.1452500,0.1459300,0.1437900,0.1456100,1780990,1788885659999,257974.3261900,4641,965514,139973.9524200,0
1788885660000,0.1456100,0.1464300,0.1453300,0.1461800,1515448,1788885719999,220965.5481600,3843,922939,134595.4998800,0
1788885720000,0.1462300,0.1477300,0.1455200,0.1473200,2064800,1788885779999,302650.5076100,5225,1165184,170952.1503700,0
1788885780000,0.1473200,0.1485200,0.1462200,0.1464200,3105604,1788885839999,457556.9462500,7186,1376384,203048.0809600,0
1788885840000,0.1464100,0.1464200,0.1436600,0.1441600,3910757,1788885899999,566709.3916200,9473,1294930,187670.2293300,0
1788885900000,0.1441100,0.1447100,0.1430800,0.1434500,2967399,1788885959999,426676.5022300,6480,1541536,221750.2521600,0
1788885960000,0.1434400,0.1454100,0.1431900,0.1452700,1369708,1788886019999,197547.0493500,4083,889814,128474.4556200,0
1788886020000,0.1452800,0.1459300,0.1447700,0.1457800,1059273,1788886079999,153863.8256800,2910,590925,85855.0676300,0
1788886080000,0.1457900,0.1466000,0.1454800,0.1456200,1898708,1788886139999,277370.5957700,3970,732081,107030.4244800,0
1788886140000,0.1456300,0.1473200,0.1455100,0.1467800,1425012,1788886199999,208949.5134600,4073,714946,104831.0212600,0
1788886200000,0.1467400,0.1468600,0.1454800,0.1464300,1350344,1788886259999,197394.2532000,3400,476159,69630.2003100,0
1788886260000,0.1464200,0.1464400,0.1454900,0.1456500,821278,1788886319999,119671.5837200,2002,297063,43282.4034000,0
1788886320000,0.1456500,0.1461000,0.1445900,0.1449600,1614849,1788886379999,234752.5816700,3750,761135,110678.9864600,0
1788886380000,0.1449700,0.1462400,0.1442100,0.1458200,1368500,1788886439999,198653.3957600,4193,629257,91421.3427600,0
1788886440000,0.1458100,0.1459700,0.1450300,0.1455200,709768,1788886499999,103327.9935300,2053,294636,42911.4048000,0
1788886500000,0.1455200,0.1456800,0.1446600,0.1451300,781738,1788886559999,113528.0798200,2451,370223,53781.3694000,0
1788886560000,0.1451200,0.1451600,0.1437300,0.1439200,1267824,1788886619999,183067.2719900,3686,453679,65526.0812500,0
1788886620000,0.1438600,0.1440800,0.1415600,0.1422200,3505744,1788886679999,499753.6264600,6860,1644725,234342.8747700,0
1788886680000,0.1421900,0.1429000,0.1420600,0.1426200,1108305,1788886739999,157862.5955500,2672,597656,85131.3228400,0
1788886740000,0.1425900,0.1425900,0.1410000,0.1414600,1842019,1788886799999,261074.9458600,4499,635491,90110.1662700,0
1788886800000,0.1414700,0.1420300,0.1401600,0.1403900,2050558,1788886859999,289466.1806600,5519,831342,117449.4786200,0
1788886860000,0.1403000,0.1404700,0.1388400,0.1393400,3136509,1788886919999,437678.4512100,6909,1164569,162567.7414600,0
1788886920000,0.1393500,0.1397600,0.1388000,0.1389300,1267860,1788886979999,176515.4168900,3224,551443,76834.2849000,0
