open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1788909720000,0.0509700,0.0510900,0.0509700,0.0510800,29980,1788909779999,1531.0309500,49,6106,311.5483000,0
1788909780000,0.0510700,0.0511700,0.0510500,0.0510600,65130,1788909839999,3328.3450000,100,31706,1620.3959200,0
1788909840000,0.0510800,0.0511100,0.0509800,0.0510900,157063,1788909899999,8014.8075300,182,45276,2311.3177800,0
1788909900000,0.0510900,0.0511100,0.0509600,0.0510100,153478,1788909959999,7828.6966700,259,56236,2869.7589700,0
1788909960000,0.0510100,0.0510600,0.0509100,0.0509600,86081,1788910019999,4390.0064900,118,16812,857.5533400,0
1788910020000,0.0509500,0.0509800,0.0509200,0.0509300,29185,1788910079999,1487.2023600,45,10867,553.9199100,0
1788910080000,0.0509300,0.0509800,0.0509300,0.0509700,28721,1788910139999,1463.6672500,41,21012,1070.9171300,0
1788910140000,0.0509700,0.0509800,0.0509200,0.0509600,50246,1788910199999,2559.2761100,58,6938,353.5956700,0
1788910200000,0.0509600,0.0509800,0.0509000,0.0509100,128980,1788910259999,6569.6392000,165,53965,2749.2830700,0
1788910260000,0.0509200,0.0509800,0.0508800,0.0509500,65673,1788910319999,3345.2843100,94,35115,1789.1246400,0
1788910320000,0.0509800,0.0510300,0.0509800,0.0510300,32237,1788910379999,1644.4332600,50,4354,222.1214300,0
1788910380000,0.0510100,0.0510500,0.0510100,0.0510500,10102,1788910439999,515.5823300,23,9893,504.9212400,0
1788910440000,0.0510100,0.0510600,0.0510100,0.0510300,9943,1788910499999,507.3727000,40,7455,380.4348200,0
1788910500000,0.0510300,0.0510300,0.0508900,0.0508900,65377,1788910559999,3332.6502500,96,8538,434.9692700,0
1788910560000,0.0508800,0.0509000,0.0508500,0.0508600,53482,1788910619999,2721.2388300,84,26583,1352.8517700,0
1788910620000,0.0508700,0.0509400,0.0508700,0.0509300,17101,1788910679999,870.4370100,27,9918,504.9834900,0
1788910680000,0.0509300,0.0509700,0.0509000,0.0509000,32294,1788910739999,1644.9203900,55,4605,234.6336600,0
1788910740000,0.0509000,0.0509800,0.0508700,0.0509800,56743,1788910799999,2888.3145900,47,47557,2420.7872900,0
1788910800000,0.0509800,0.0509800,0.0509100,0.0509400,50565,1788910859999,2576.3288900,77,18292,932.0889000,0
1788910860000,0.0509400,0.0510800,0.0508700,0.0509700,219777,1788910919999,11210.5357700,162,153136,7813.9506700,0
1788910920000,0.0510000,0.0511200,0.0509800,0.0510800,56690,1788910979999,2895.9740700,81,46343,2367.4386200,0
1788910980000,0.0510700,0.0511000,0.0510700,0.0510900,12912,1788911039999,659.6785500,27,11713,598.4329200,0
1788911040000,0.0511000,0.0512300,0.0511000,0.0511200,116293,1788911099999,5951.0502800,100,88320,4520.3419300,0
1788911100000,0.0511300,0.0511600,0.0510400,0.0511200,311018,1788911159999,15891.4947700,244,156509,7999.1158500,0
1788911160000,0.0510900,0.0511400,0.0510700,0.0511300,35324,1788911219999,1805.2142500,52,27520,1406.5665500,0
1788911220000,0.0511200,0.0511300,0.0510800,0.0511300,17320,1788911279999,884.9825500,31,7767,396.9002200,0
1788911280000,0.0511300,0.0512000,0.0511300,0.0512000,58165,1788911339999,2976.5106400,69,12489,639.1110800,0
1788911340000,0.0511900,0.0512800,0.0511800,0.0512500,172165,1788911399999,8821.3808300,144,140795,7214.6006900,0
1788911400000,0.0512500,0.0513000,0.0511800,0.0512800,185281,1788911459999,9491.4581100,117,81327,4166.6233100,0
1788911460000,0.0512600,0.0512900,0.0511800,0.0512400,138511,1788911519999,7095.2322200,97,30074,1541.0578100,0
1788911520000,0.0512600,0.0512600,0.0510600,0.0511400,469395,1788911579999,24005.2603100,429,228928,11708.2691000,0
1788911580000,0.0511400,0.0512100,0.0510700,0.0511800,355692,1788911639999,18181.5439700,337,261330,13360.3542700,0
1788911640000,0.0511400,0.0511700,0.0510900,0.0511600,123511,1788911699999,6313.8496000,155,78216,3998.8389700,0
1788911700000,0.0511500,0.0512500,0.0511100,0.0511700,196723,1788911759999,10067.3262700,174,123931,6343.3501200,0
1788911760000,0.0511700,0.0512500,0.0511500,0.0512000,93607,1788911819999,4792.0496400,108,55041,2818.0633200,0
1788911820000,0.0511900,0.0512800,0.0511400,0.0511500,112304,1788911879999,5749.5507000,147,65689,3363.6597600,0
1788911880000,0.0511500,0.0512200,0.0511500,0.0511900,134694,1788911939999,6895.9140300,109,48916,2503.7077800,0
1788911940000,0.0511900,0.0513500,0.0510800,0.0511300,466197,1788911999999,23865.3847200,371,171351,8775.6105500,0
1788912000000,0.0511300,0.0518500,0.0509700,0.0515900,1278796,1788912059999,65805.2100300,1341,743245,38247.5372800,0
1788912060000,0.0515900,0.0528600,0.0514900,0.0520000,8112995,1788912119999,423986.2260100,5867,4320764,225873.7732200,0
1788912120000,0.0520000,0.0522500,0.0516200,0.0518600,2732746,1788912179999,141931.8053600,2352,1358774,70596.3174900,0
1788912180000,0.0518500,0.0520000,0.0517100,0.0519200,1190484,1788912239999,61757.8781000,1437,626001,32480.8115200,0
1788912240000,0.0519200,0.0519200,0.0513200,0.0518400,1664020,1788912299999,85957.2284200,2060,625154,32325.1982900,0
1788912300000,0.0518300,0.0522700,0.0517700,0.0520300,1393030,1788912359999,72432.0731000,1145,770544,40057.1819500,0
1788912360000,0.0520500,0.0523700,0.0518800,0.0521100,986250,1788912419999,51418.9517000,626,375190,19566.5741900,0
1788912420000,0.0521100,0.0521600,0.0518500,0.0520300,403471,1788912479999,20971.4565200,247,177927,9250.0941000,0
1788912480000,0.0520200,0.0526600,0.0519100,0.0523900,757878,1788912539999,39672.8636600,591,390204,20420.5375200,0
1788912540000,0.0524000,0.0530500,0.0524000,0.0527300,4285789,1788912599999,226059.2621500,3148,2268208,119675.9456900,0
1788912600000,0.0527700,0.0527700,0.0522700,0.0525400,2243655,1788912659999,117999.8985700,2593,1076602,56649.7322400,0
1788912660000,0.0525500,0.0528700,0.0525000,0.0527400,1136063,1788912719999,59849.3461500,1142,593701,31286.8610300,0
1788912720000,0.0527200,0.0528900,0.0526200,0.0528200,1057571,1788912779999,55821.7040200,1172,557266,29418.8980500,0
1788912780000,0.0528000,0.0529500,0.0525900,0.0528100,1134029,1788912839999,59869.9843000,787,520219,27466.3343900,0
1788912840000,0.0527800,0.0535000,0.0527500,0.0533300,2630887,1788912899999,139879.6720400,1639,1438512,76596.6836200,0
1788912900000,0.0533300,0.0537800,0.0531400,0.0536300,3090117,1788912959999,165180.3318700,1900,1741149,93088.6749200,0
1788912960000,0.0536300,0.0540000,0.0534800,0.0539500,2146594,1788913019999,115349.4827800,1062,965303,51879.8003800,0
1788913020000,0.0539500,0.0555000,0.0539100,0.0546000,5019191,1788913079999,275632.7337800,2621,2208908,121145.4915500,0
1788913080000,0.0546200,0.0547400,0.0535400,0.0547400,4775627,1788913139999,258256.6491800,2487,2742971,148343.9004400,0
1788913140000,0.0546900,0.0551900,0.0544700,0.0550600,2742351,1788913199999,150477.3069700,1735,1253779,68833.3452600,0
1788913200000,0.0550400,0.0563900,0.0549800,0.0560300,6148621,1788913259999,343014.5767000,3864,2879006,160435.4654400,0
1788913260000,0.0560300,0.0571700,0.0559300,0.0568800,4846700,1788913319999,274847.2639100,3406,2394153,135734.4977200,0
1788913320000,0.0568600,0.0580500,0.0563600,0.0580100,6007661,1788913379999,343915.5923800,3643,2941244,168513.2215000,0
1788913380000,0.0579700,0.0584600,0.0575300,0.0581200,5930178,1788913439999,343735.2630600,3665,2770219,160618.2201800,0
1788913440000,0.0580900,0.0582900,0.0566000,0.0571300,8334997,1788913499999,477119.8669500,4437,3283931,187706.9359700,0
1788913500000,0.0571100,0.0577200,0.0570000,0.0575800,3012754,1788913559999,173060.6887300,2557,1727242,99242.8975500,0
1788913560000,0.0575800,0.0579600,0.0568400,0.0578600,3764746,1788913619999,215937.9940300,2611,1761346,101174.7448200,0
1788913620000,0.0578700,0.0581000,0.0572800,0.0573300,2779847,1788913679999,160547.7647800,1715,1204899,69627.8241400,0
1788913680000,0.0573600,0.0575700,0.0568000,0.0570300,2422550,1788913739999,138431.3370500,1645,1033098,59077.4957200,0
1788913740000,0.0570500,0.0574800,0.0558400,0.0568700,6307426,1788913799999,356584.5528400,3563,3278238,185330.8650100,0
1788913800000,0.0568500,0.0570700,0.0562300,0.0568100,4111816,1788913859999,233154.2536100,2412,1990031,112897.1221200,0
1788913860000,0.0568500,0.0570200,0.0551500,0.0558200,9182777,1788913919999,514214.0938000,5261,4731526,264880.0345500,0
1788913920000,0.0557900,0.0557900,0.0535300,0.0539700,10503480,1788913979999,570161.1528900,6791,4913450,266446.5658600,0
1788913980000,0.0539400,0.0540000,0.0529400,0.0534600,5916837,1788914039999,316935.3858300,3650,2539041,136178.9895200,0
1788914040000,0.0534200,0.0537500,0.0531600,0.0536400,4613586,1788914099999,246986.8484100,3535,2727120,146034.8044800,0
1788914100000,0.0536200,0.0538300,0.0533500,0.0534200,3462296,1788914159999,185412.3572000,2431,1866456,100002.8740000,0
1788914160000,0.0534100,0.0534100,0.0522600,0.0532100,7001002,1788914219999,369724.8494200,5167,2833052,149733.5170900,0
1788914220000,0.0531800,0.0533100,0.0528000,0.0530000,2536769,1788914279999,134568.0542800,1737,1361007,72233.9646700,0
1788914280000,0.0530100,0.0530100,0.0526200,0.0527300,2961665,1788914339999,156346.9993800,2187,1327626,70106.7259800,0
1788914340000,0.0527300,0.0527300,0.0519700,0.0524600,5251662,1788914399999,274887.2839000,3623,2316467,121280.1158100,0
1788914400000,0.0524900,0.0530600,0.0522800,0.0529500,3273696,1788914459999,172589.8672200,2374,1994421,105185.5789800,0
1788914460000,0.0529600,0.0530900,0.0522500,0.0525000,2312673,1788914519999,121642.0912700,1639,1196546,62931.1178900,0
1788914520000,0.0525200,0.0527800,0.0522300,0.0524700,1979344,1788914579999,103971.9597500,1590,1006825,52905.0358300,0
1788914580000,0.0524400,0.0529400,0.0523000,0.0526200,1460447,1788914639999,76989.4088300,1103,761893,40175.8476100,0
1788914640000,0.0526400,0.0526900,0.0520700,0.0522100,3175115,1788914699999,166534.6993000,1831,1437071,75411.9361800,0
1788914700000,0.0522000,0.0522900,0.0515400,0.0520800,5810261,1788914759999,301940.7502400,3646,2447901,127294.2815900,0
1788914760000,0.0520300,0.0522800,0.0516600,0.0521300,2120204,1788914819999,110181.8177700,1537,1215265,63178.1277400,0
1788914820000,0.0520800,0.0521900,0.0517000,0.0519400,2495633,1788914879999,129492.9075200,1658,1179689,61232.7984400,0
1788914880000,0.0519200,0.0523000,0.0518100,0.0521200,1645963,1788914939999,85743.1500800,961,958408,49916.3299800,0
1788914940000,0.0521200,0.0528700,0.0521200,0.0528400,2232461,1788914999999,117400.9547200,1425,1305765,68667.6951900,0
1788915000000,0.0528400,0.0531000,0.0527600,0.0530400,2841807,1788915059999,150427.9093200,1908,1290123,68320.0369200,0
1788915060000,0.0530400,0.0530800,0.0526500,0.0530700,1530283,1788915119999,80953.2344400,1117,747627,39569.5746500,0
1788915120000,0.0530700,0.0533600,0.0528600,0.0533100,1022835,1788915179999,54313.4750000,742,528883,28085.6310600,0
1788915180000,0.0532900,0.0534600,0.0530300,0.0533200,1877674,1788915239999,100041.7618400,1223,833109,44404.1716500,0
1788915240000,0.0533200,0.0533400,0.0528100,0.0530000,1397426,1788915299999,74150.8577800,999,523168,27770.7695300,0
1788915300000,0.0530200,0.0532600,0.0529500,0.0530500,1334537,1788915359999,70892.1607200,665,695290,36945.3721300,0
1788915360000,0.0530700,0.0534700,0.0530000,0.0533700,1124822,1788915419999,59882.8077200,797,615569,32790.1499700,0
1788915420000,0.0534100,0.0535800,0.0531700,0.0535100,1705951,1788915479999,91104.9950700,1021,941687,50328.1487300,0
1788915480000,0.0535200,0.0541700,0.0534700,0.0536700,3710456,1788915539999,199972.2476300,2085,1748470,94232.0332000,0
