open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1788876480000,19.716000,19.990000,19.688000,19.939000,20290.27,1788876539999,403456.00979000,3607,12134.74,241261.98080000,0
1788876540000,19.941000,20.096000,19.790000,19.847000,17988.79,1788876599999,358673.69055000,2947,10567.57,210834.81611000,0
1788876600000,19.848000,19.936000,19.788000,19.920000,6967.12,1788876659999,138352.64336000,1307,5014.52,99585.55912000,0
1788876660000,19.920000,20.300000,19.900000,20.269000,28288.33,1788876719999,569810.03793000,4985,17817.30,358895.15960000,0
1788876720000,20.262000,20.311000,20.127000,20.220000,10173.69,1788876779999,205625.65431000,2388,4857.59,98202.20390000,0
1788876780000,20.219000,20.400000,20.200000,20.359000,12357.01,1788876839999,250826.45335000,2823,6965.87,141436.94456000,0
1788876840000,20.353000,20.383000,20.230000,20.244000,8602.52,1788876899999,174709.24124000,2026,4375.31,88894.15485000,0
1788876900000,20.244000,20.472000,20.244000,20.446000,7815.44,1788876959999,159562.03549000,2201,4563.25,93160.73720000,0
1788876960000,20.446000,20.449000,20.301000,20.327000,5524.18,1788877019999,112493.46203000,1590,2482.46,50545.07610000,0
1788877020000,20.331000,20.416000,20.293000,20.344000,4410.90,1788877079999,89761.42337000,1392,2439.63,49650.54890000,0
1788877080000,20.349000,20.541000,20.331000,20.532000,10673.06,1788877139999,218620.24825000,2714,6481.35,132776.42994000,0
1788877140000,20.533000,20.533000,20.391000,20.431000,7302.93,1788877199999,149421.97840000,1845,3180.25,65078.71083000,0
1788877200000,20.438000,20.736000,20.359000,20.699000,21447.26,1788877259999,441541.06158000,4006,13519.62,278583.25193000,0
1788877260000,20.702000,21.077000,20.671000,21.019000,44967.99,1788877319999,940171.56069000,8046,29997.20,627191.08459000,0
1788877320000,21.020000,21.111000,20.887000,20.988000,32251.80,1788877379999,677023.98644000,6061,15911.23,334136.01135000,0
1788877380000,20.987000,21.171000,20.898000,20.953000,25420.12,1788877439999,534221.84798000,4444,12211.65,256731.03424000,0
1788877440000,20.953000,21.061000,20.782000,20.845000,19229.30,1788877499999,402113.00367000,5025,7864.88,164583.75000000,0
1788877500000,20.846000,21.055000,20.803000,21.033000,16964.08,1788877559999,355063.21428000,3834,9795.26,205175.33181000,0
1788877560000,21.034000,21.312000,20.994000,21.182000,49858.76,1788877619999,1056726.31639000,8550,26609.57,564068.95107000,0
1788877620000,21.173000,21.240000,21.026000,21.159000,18723.93,1788877679999,395587.27649000,3486,8899.82,188019.10366000,0
1788877680000,21.162000,21.326000,21.051000,21.293000,32694.63,1788877739999,692284.03826000,3893,19167.90,406136.79005000,0
1788877740000,21.299000,21.575000,21.263000,21.414000,53898.92,1788877799999,1153899.80293000,7444,31970.88,684552.75863000,0
1788877800000,21.417000,21.530000,21.300000,21.522000,31403.45,1788877859999,672540.31031000,4545,16948.56,363054.53384000,0
